company_id,industry_cluster_id
2874,1
2702,1
2084,1
2285,2
1858,3
2697,3
2253,4
1006,5
682,5
1058,5
2704,6
1005,7
966,8
2270,9
2085,10
2183,11
2306,12
2201,13
1250,14
1283,14
1251,14
1258,14
1256,14
1253,14
1269,15
1438,16
962,17
1231,17
911,17
1213,18
1218,19
1228,20
2437,21
2473,21
2435,21
2474,22
2475,22
2469,22
2275,23
2468,24
2888,25
2872,25
2853,26
2885,27
2854,27
2996,28
2999,28
3034,28
3066,29
3096,30
3088,30
3105,31
3106,31
3110,31
114,32
116,32
3348,33
3349,33
3563,34
1382,35
1060,36
967,36
665,37
2983,38
653,38
3562,39
2971,39
742,40
