insight_temp_id,source_id
1,1
2,1
3,1
4,2
5,2
6,2
7,3
8,3
9,3
10,4
11,4
12,4
13,5
14,5
15,5
16,6
17,6
18,6
19,7
20,7
21,7
22,8
23,8
24,8
25,9
26,9
27,9
28,10
29,10
30,10
31,11
32,11
33,11
34,12
35,12
36,12
37,2
38,2
39,2
40,4
41,4
42,4
43,5
44,5
45,5
46,9
47,9
48,9
49,13
50,13
51,13
52,14
53,14
54,14
55,15
56,15
57,15
58,16
59,16
60,16
61,17
62,17
63,17
64,18
65,18
66,18
67,19
68,19
69,19
70,20
71,20
72,20
73,21
74,21
75,21
76,22
77,22
78,22
79,23
80,23
81,23
82,24
83,24
84,24
85,25
86,25
87,25
88,5
89,5
90,5
91,26
92,26
93,26
94,27
95,27
96,27
97,28
98,28
99,28
100,29
101,29
102,29
103,30
104,30
105,30
106,18
107,18
108,18
109,20
110,20
111,20
112,17
113,17
114,17
115,15
116,15
117,15
118,16
119,16
120,16
121,31
122,31
123,31
124,32
125,32
126,32
127,33
128,33
129,33
130,34
131,34
132,34
133,15
134,15
135,15
136,35
137,35
138,35
139,31
140,31
141,31
142,33
143,33
144,33
145,29
146,29
147,29
148,28
149,28
150,28
151,21
152,21
153,21
154,32
155,32
156,32
157,28
158,28
159,28
160,15
161,15
162,15
163,31
164,31
165,31
166,33
167,33
168,33
169,36
170,36
171,36
172,32
173,32
174,32
175,35
176,35
177,35
178,37
179,37
180,37
181,15
182,15
183,15
184,16
185,16
186,16
187,21
188,21
189,21
190,38
191,38
192,38
193,39
194,39
195,39
196,40
197,40
198,40
199,41
200,41
201,41
202,42
203,42
204,42
